Warning: The cache directory for DeepSpeed Triton autotune, /home/****/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Libraries Loaded
CUDA Available:  True
CUDA Device count:  1
World size: 1
Rank: 0
Local rank: 0
GPU 0:  NVIDIA H200 NVL
Libraries loaded!
Preparing the training!
Model name:  microsoft/Phi-3.5-vision-instruct
Number of Epochs:  4
Warning: The cache directory for DeepSpeed Triton autotune, /home/****/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
{'loss': 0.8793, 'grad_norm': 1330489.065545448, 'learning_rate': 9.868421052631579e-06, 'epoch': 0.05}
{'loss': 0.2313, 'grad_norm': 83516.8796351971, 'learning_rate': 9.736842105263159e-06, 'epoch': 0.11}
{'loss': 0.2542, 'grad_norm': 61237.265517003616, 'learning_rate': 9.605263157894737e-06, 'epoch': 0.16}
{'loss': 0.2725, 'grad_norm': 40885.666926197984, 'learning_rate': 9.473684210526315e-06, 'epoch': 0.21}
{'loss': 0.2243, 'grad_norm': 39275.466948210815, 'learning_rate': 9.342105263157895e-06, 'epoch': 0.26}
{'loss': 0.2763, 'grad_norm': 38185.87466590231, 'learning_rate': 9.210526315789474e-06, 'epoch': 0.32}
{'loss': 0.2445, 'grad_norm': 40073.10439683953, 'learning_rate': 9.078947368421054e-06, 'epoch': 0.37}
{'loss': 0.2619, 'grad_norm': 40676.96114510031, 'learning_rate': 8.947368421052632e-06, 'epoch': 0.42}
{'loss': 0.2734, 'grad_norm': 36533.86724670685, 'learning_rate': 8.81578947368421e-06, 'epoch': 0.47}
{'loss': 0.2619, 'grad_norm': 32804.542124529034, 'learning_rate': 8.68421052631579e-06, 'epoch': 0.53}
{'loss': 0.2673, 'grad_norm': 33074.813620034205, 'learning_rate': 8.552631578947368e-06, 'epoch': 0.58}
{'loss': 0.2594, 'grad_norm': 41269.290083547596, 'learning_rate': 8.421052631578948e-06, 'epoch': 0.63}
{'loss': 0.1807, 'grad_norm': 29169.500784209522, 'learning_rate': 8.289473684210526e-06, 'epoch': 0.68}
{'loss': 0.2359, 'grad_norm': 35116.13828427038, 'learning_rate': 8.157894736842106e-06, 'epoch': 0.74}
{'loss': 0.3138, 'grad_norm': 34657.98516936609, 'learning_rate': 8.026315789473685e-06, 'epoch': 0.79}
{'loss': 0.2087, 'grad_norm': 28824.74492515068, 'learning_rate': 7.894736842105265e-06, 'epoch': 0.84}
{'loss': 0.2375, 'grad_norm': 36870.97677035422, 'learning_rate': 7.763157894736843e-06, 'epoch': 0.89}
{'loss': 0.2499, 'grad_norm': 32567.831981880525, 'learning_rate': 7.631578947368423e-06, 'epoch': 0.95}
{'loss': 0.269, 'grad_norm': 31966.72269720498, 'learning_rate': 7.500000000000001e-06, 'epoch': 1.0}
{'loss': 0.1603, 'grad_norm': 30040.527292309635, 'learning_rate': 7.368421052631579e-06, 'epoch': 1.05}
{'loss': 0.1748, 'grad_norm': 30481.669245630233, 'learning_rate': 7.236842105263158e-06, 'epoch': 1.11}
{'loss': 0.185, 'grad_norm': 22839.690365677026, 'learning_rate': 7.1052631578947375e-06, 'epoch': 1.16}
{'loss': 0.2121, 'grad_norm': 29329.30602656667, 'learning_rate': 6.973684210526316e-06, 'epoch': 1.21}
{'loss': 0.2318, 'grad_norm': 30838.774554122607, 'learning_rate': 6.842105263157896e-06, 'epoch': 1.26}
{'loss': 0.2206, 'grad_norm': 32287.5619395457, 'learning_rate': 6.710526315789474e-06, 'epoch': 1.32}
{'loss': 0.149, 'grad_norm': 28032.142693700745, 'learning_rate': 6.578947368421054e-06, 'epoch': 1.37}
{'loss': 0.1758, 'grad_norm': 35593.70910708801, 'learning_rate': 6.447368421052632e-06, 'epoch': 1.42}
{'loss': 0.2067, 'grad_norm': 35373.617287464396, 'learning_rate': 6.31578947368421e-06, 'epoch': 1.47}
{'loss': 0.1372, 'grad_norm': 32549.388934356357, 'learning_rate': 6.18421052631579e-06, 'epoch': 1.53}
{'loss': 0.0861, 'grad_norm': 26015.98769987409, 'learning_rate': 6.0526315789473685e-06, 'epoch': 1.58}
{'loss': 0.179, 'grad_norm': 34489.771237281355, 'learning_rate': 5.921052631578948e-06, 'epoch': 1.63}
{'loss': 0.1717, 'grad_norm': 39389.08356385053, 'learning_rate': 5.789473684210527e-06, 'epoch': 1.68}
{'loss': 0.2271, 'grad_norm': 38682.80527572942, 'learning_rate': 5.657894736842106e-06, 'epoch': 1.74}
{'loss': 0.2052, 'grad_norm': 41419.22722601183, 'learning_rate': 5.526315789473685e-06, 'epoch': 1.79}
{'loss': 0.1234, 'grad_norm': 30725.153734359086, 'learning_rate': 5.394736842105264e-06, 'epoch': 1.84}
{'loss': 0.1236, 'grad_norm': 31709.417654696845, 'learning_rate': 5.263157894736842e-06, 'epoch': 1.89}
{'loss': 0.2379, 'grad_norm': 38550.20954547459, 'learning_rate': 5.131578947368422e-06, 'epoch': 1.95}
{'loss': 0.0823, 'grad_norm': 27960.17510674781, 'learning_rate': 5e-06, 'epoch': 2.0}
{'loss': 0.1428, 'grad_norm': 42947.29644576012, 'learning_rate': 4.8684210526315795e-06, 'epoch': 2.05}
{'loss': 0.0715, 'grad_norm': 38928.12494842257, 'learning_rate': 4.736842105263158e-06, 'epoch': 2.11}
{'loss': 0.0655, 'grad_norm': 45176.32087720292, 'learning_rate': 4.605263157894737e-06, 'epoch': 2.16}
{'loss': 0.0756, 'grad_norm': 40233.09364192617, 'learning_rate': 4.473684210526316e-06, 'epoch': 2.21}
{'loss': 0.0866, 'grad_norm': 46138.949792989435, 'learning_rate': 4.342105263157895e-06, 'epoch': 2.26}
{'loss': 0.2186, 'grad_norm': 47613.08593233587, 'learning_rate': 4.210526315789474e-06, 'epoch': 2.32}
{'loss': 0.0848, 'grad_norm': 32485.258687595517, 'learning_rate': 4.078947368421053e-06, 'epoch': 2.37}
{'loss': 0.152, 'grad_norm': 38718.93882843382, 'learning_rate': 3.947368421052632e-06, 'epoch': 2.42}
{'loss': 0.1151, 'grad_norm': 36140.06175977014, 'learning_rate': 3.815789473684211e-06, 'epoch': 2.47}
{'loss': 0.1142, 'grad_norm': 54942.0523824875, 'learning_rate': 3.6842105263157896e-06, 'epoch': 2.53}
